Shape,Name,Label,Address,ZIP,City,Capacity,PFI
"(40.85638940500007, -73.84738502999994)",Jacobi Medical Center,JACOBI,1400 Pelham Parkway South,10461,Bronx,457,1165
"(40.88050982900006, -73.88107180999992)",North Central Bronx Hospital,NORTH CENTRAL - BRONX,3424 Kossuth Avenue,10467,Bronx,213,1186
"(40.81693940800005, -73.92443339399995)",Lincoln Medical and Mental Health Center,LINCOLN,234 East 149th Street,10451,Bronx,347,1172
"(40.88045236100004, -73.87977321199992)",Montefiore Medical Center - Henry and Lucy Moses Division,MONTEFIORE - MOSES,111 East 210th Street,10467,Bronx,726,1169
"(40.84915558100005, -73.84616610299992)",Montefiore Medical Center - Jack D. Weiler Division,MONTEFIORE - WEILER,1825 Eastchester Road,10461,Bronx,396,3058
"(40.89351037200004, -73.86122223899991)",Montefiore Medical Center - North Division,MONTEFIORE - NORTH,600 East 233 Street,10466,Bronx,369,1168
"(40.84349724000003, -73.9110151989999)",Bronx-Lebanon Hospital Center - Concourse Pavilion,BX-LEB CONCOURSE,1650 Grand Concourse,10457,Bronx,415,1178
"(40.853345630000035, -73.89119355899993)",St. Barnabas Hospital,ST. BARNABAS,4422 Third Avenue,10457,Bronx,446,1176
"(40.84070871900008, -73.8484286499999)",New York Westchester Square Medical Center,WESTCHESTER SQUARE,2475 Saint Raymond's Avenue,10461,Bronx,205,1185
"(40.678271566000035, -73.9374643829999)",Interfaith Medical Center,INTERFAITH,1545 Atlantic Avenue,11213,Brooklyn,287,1309
"(40.690631746000065, -73.99766541499991)",Long Island College Hospital,LI COLLEGE,339 Hicks Street,11201,Brooklyn,506,1302
"(40.654700870000056, -73.9121053529999)",Brookdale University Hospital and Medical Center,BROOKDALE,1 Brookdale Plaza,11212,Brooklyn,530,1286
"(40.61391319000006, -73.94851560699993)",New York Community Hospital of Brooklyn,NY COMM BROOKLYN,2525 Kings Highway,11229,Brooklyn,134,1293
"(40.69070054200006, -73.9780128989999)",Brooklyn Hospital Center - Downtown Campus,BROOKLYN DOWNTOWN,121 Dekalb Avenue,11201,Brooklyn,464,1288
"(40.63970508500006, -73.9990981919999)",Maimonides Medical Center,MAIMONIDES,4802 Tenth Avenue,11219,Brooklyn,705,1305
"(40.65527813400007, -73.94522980499994)",University Hospital of Brooklyn  (SUNY Downstate Medical Center),UNIV HOSP - BKLN,445 Lenox Road,11203,Brooklyn,376,1320
"(40.656509827000036, -73.94312480799994)",Kings County Hospital Center,KINGS COUNTY,451 Clarkson Avenue,11203,Brooklyn,695,1301
"(40.667833520000045, -73.97912636199993)",New York Methodist Hospital,METHODIST,506 Sixth Street,11215,Brooklyn,591,1306
"(40.58523043400004, -73.96536074999995)",Coney Island Hospital,CONEY ISLAND,2601 Ocean Parkway,11235,Brooklyn,371,1294
"(40.65921190700004, -73.9331281549999)",Kingsbrook Jewish Medical Center,KINGSBROOK JEWISH,585 Schenectady Avenue,11203,Brooklyn,326,1315
"(40.618724032000046, -73.94310787299992)",Beth Israel Medical Center - Kings Highway Division,BETH ISRAEL KINGS HWY,3201 Kings Highway,11234,Brooklyn,212,1324
"(40.64639413000003, -74.0208239019999)",Lutheran Medical Center,LUTHERAN,150 55th Street,11220,Brooklyn,468,1304
"(40.69952719500009, -73.94244466899994)",Woodhull Medical and Mental Health Center,WOODHULL,760 Broadway,11206,Brooklyn,394,1692
"(40.70419062700006, -73.91757014199993)",Wyckoff Heights Medical Center,WYCKOFF,374 Stockholm Street,11237,Brooklyn,324,1318
"(40.74511824400008, -73.8856643819999)",Elmhurst Hospital Center (City Hospital Center at Elmhurst),ELMHURST,79-01 Broadway,11373,"Elmhurst, Queens",545,1626
"(40.594229864000056, -73.78253030699994)",Peninsula Hospital Center,PENINSULA,51-15 Beach Channel Drive,11691,"Far Rockaway, Queens",173,1632
"(40.598639123000055, -73.75349045199994)",St. John's Episcopal Hospital - South Shore Division,ST JOHN'S EPISCOPAL,327 Beach 19th Street,11691,"Far Rockaway, Queens",257,1635
"(40.74702302600008, -73.8251464569999)",New York Hospital Medical Center of Queens,NY HOSP QUEENS,56-45 Main Street,11355,"Flushing, Queens",439,1637
"(40.755307429000084, -73.81664334399994)",Flushing Hospital Medical Center,FLUSHING,4500 Parsons Blvd,11355,"Flushing, Queens",293,1628
"(40.72906657300007, -73.85157129299995)",North Shore University Hospital at Forest Hills,FOREST HILLS,102-01 66th Road,11375,"Forest Hills, Queens",312,1638
"(40.69999960500007, -73.81627230299995)",Jamaica Hospital Medical Center,JAMAICA,8900 Van Wyck Expressway,11418,"Jamaica, Queens",384,1629
"(40.71695698700006, -73.80439687499995)",Queens Hospital Center,QUEENS,82-68 164th Street,11432,"Jamaica, Queens",261,1633
"(40.76827845300005, -73.92485858499992)",Mount Sinai Hospital of Queens,MT SINAI - QUEENS,25-10 30th Avenue,11102,"Long Island City, Queens",235,1639
"(40.75433433900008, -73.7081578559999)",North Shore Long Island Jewish Medical Center,NORTH SHORE LI JEWISH,270-05 76th Avenue,11040,"New Hyde Park, Queens",880,1630
"(40.74208491600007, -73.97433026399995)",NYU Hospitals Center / NYU Medical Center - Tisch Hospital & Rusk Institute,NYU,550 First Avenue,10016,New York,879,1463
"(40.769694376000075, -73.98689862299995)",St. Luke's Roosevelt Hospital Center - Roosevelt Hospital Division,ROOSEVELT,1000 Tenth Avenue,10019,New York,505,1466
"(40.739241021000055, -73.97510145599995)",Bellevue Hospital Center,BELLEVUE,462 First Avenue,10016,New York,912,1438
"(40.73334019200007, -73.98233251799991)",Beth Israel Medical Center - Milton and Carroll Petrie Division,BETH ISRAEL PETRIE,354 East16th Street,10003,New York,899,1439
"(40.814132904000076, -73.93981056399991)",Harlem Hospital Center,HARLEM,506 Lenox Avenue,10037,New York,286,1445
"(40.77364785200007, -73.96087376299994)",Lenox Hill Hospital,LENOX HILL,100 East 77th Street,10021,New York,652,1450
"(40.78504843400009, -73.94493570599991)",Metropolitan Hospital Center,METROPOLITAN,1901 First Avenue,10029,New York,363,1454
"(40.789883273000044, -73.95329043999993)",Mount Sinai Medical Center,MT SINAI,1 Gustave L. Levy Place (1189 Fifth Ave),10029,New York,1171,1456
"(40.840878892000035, -73.94141392099993)",New York Presbyterian Hospital - Columbia University Medical Center,NY PRESB - COLUMBIA,622 West 168th Street,10032,New York,977,1464
"(40.76444431800007, -73.9539215879999)",New York Presbyterian Hospital - Weill Cornell Medical Center,NY PRESB - CORNELL,525 East 68th Street,10021,New York,850,1458
"(40.873345878000066, -73.91304691199991)",New York Presbyterian Hospital - Allen Pavilion,NY PRESB - ALLEN,5141 Broadway,10034,New York,201,3975
"(40.71014800100005, -74.00483918099991)",New York Downtown Hospital,NY DOWNTOWN,170 William Street,10038,New York,180,1437
"(40.80551155300009, -73.96137424099993)",St. Luke's Roosevelt Hospital Center - St.Luke's Hospital Division,ST LUKE'S,1111 Amsterdam Avenue,10025,New York,523,1469
"(40.516986271000064, -74.19614508299992)",Staten Island University Hospital - South,SI UNIV - SOUTH,375 Seguine Avenue,10309,Staten Island,206,1737
"(40.635745875000055, -74.1061120519999)",Richmond University Medical Center Staten Island,RICHMOND,355 Bard Avenue,10310,Staten Island,448,1738
"(40.584880706000035, -74.08626948299991)",Staten Island University Hospital - North,SI UNIV - NORTH,475 Seaview Avenue,10305,Staten Island,508,1740
