Shape,CATEGORY,VENDORNAME,WEBSITE,ADDRESS,CITY,STATE,ZIP,TELEPHONE,CAMERAICON,BOROUGH,BCODE,HOUSENUM,STREETNAME
"(40.74440784500007, -73.98565431999992)",Hotels,The Carlton Madison Avenue,http://www.carltonhotelny.com,88 Madison Avenue,New York,NY,10016,(212) 532-4100, ,Manhattan,1,88,MADISON AVENUE
"(40.74431315000004, -73.99688556199993)",Hotels,The Chelsea Hotel,http://www.hotelchelsea.com,222 West 23rd Street,New York,NY,10011,(212) 243-3700,yes,Manhattan,1,222,WEST 23 STREET
"(40.771377822000034, -73.98271741099995)",Hotels,The Empire Hotel,http://www.empirehotelnyc.com,44 West 63rd Street,New York,NY,10023,(212) 765-4201,yes,Manhattan,1,44,WEST 63 STREET
"(40.77979110000007, -73.95478228099995)",Hotels,The Franklin Hotel,http://www.franklinhotel.com,164 East 87th Street,New York,NY,10128,(212) 369-1000, ,Manhattan,1,164,EAST 87 STREET
"(40.75470429100005, -73.97259011199992)",Hotels,The Helmsley Middletowne Hotel,http://www.helmsleyhotels.com,148 East 48th Street,New York,NY,10017,(212) 755-3000 x6743, ,Manhattan,1,148,EAST 48 STREET
"(40.75586716100008, -73.98192734899993)",Hotels,The Iroquois New York,http://www.iroquoisny.com,49 West 44th Street,New York,NY,10036,(212) 453-4003, ,Manhattan,1,49,WEST 44 STREET
"(40.76080804600008, -73.97034233799991)",Hotels,The Lombardy,http://www.lombardyhotel.com,111 East 56th Street,New York,NY,10022,(212) 753-8600 x4029, ,Manhattan,1,111,EAST 56 STREET
"(40.76335273500007, -73.98039202199993)",Hotels,The London NYC,http://www.thelondonnyc.com,151 West 54th Street,New York,NY,10019,(212) 307-5000,yes,Manhattan,1,151,WEST 54 STREET
"(40.75502164800008, -73.9811046289999)",Hotels,The Mansfield Hotel,http://www.mansfieldhotel.com,12 West 44th Street,New York,NY,10036,(212) 277-8700, ,Manhattan,1,12,WEST 44 STREET
"(40.74834731800007, -73.98772194599991)",Hotels,The Martinique,http://www.martiniqueonbroadway.com,49 West 32nd Street,New York,NY,10001,(212) 277-2647, ,Manhattan,1,49,WEST 32 STREET
