Shape,SYSTEM,DESCRIPTIO,PARENTID,GISPROPNUM,OMPPROPID,NAME,BATHROOM,COMFORTSTA,BUILDINGTY,Shape_Length,Shape_Area
"(40.584533167000075, -73.82507667899995)",Q389-BLG0001,Jhs 180 Playground-Building,Q389,Q389,Q389,Bayside Playground,Y, ,BATHROOM,80.47050554,392.2797517
"(40.66483643600009, -73.74024660999993)",Q008-BLG0160,Brookville Park-Building,Q008,Q008,Q008,Brookville Park,Y, ,BATHROOM,134.3713395,648.8272722
"(40.76261726600006, -73.75349338099994)",Q001-ZN09-BLG0405,Alley Pond Environmental Center,Q001-ZN09,Q001,Q001-ZN09,Alley Pond Environmental Center,Y,FALSE,ATHLETIC/RECREATIONAL,303.8884456,5493.988659
"(40.74151510000007, -73.74855118199991)",Q001-ZN03-BLG0406,Alley Pond Park-Alley Pond Park Zone 3-Building,Q001-ZN03,Q001,Q001-ZN03,Alley Pond Park,Y,TRUE,ATHLETIC/RECREATIONAL,143.3259137,1015.57015
"(40.73918727600005, -73.73567161599993)",Q001-ZN01-BLG0407,Alley Park (athletic)-Alley Pond Park Zone 1-Building,Q001-ZN01,Q001A,Q001-ZN01,Alley Athletic Playground,Y,FALSE,BATHROOM,1641.332467,77088.5902
"(40.73980667500007, -73.73428759299992)",Q001-ZN01-BLG0408,Alley Park (athletic)-Alley Pond Park Zone 1-Building,Q001-ZN01,Q001A,Q001-ZN01,Alley Athletic Playground,Y,TRUE,BATHROOM,341.8111727,4438.844032
"(40.79345700400006, -73.8513882979999)",Q009-ZN02-BLG0409,Hermon A Macneil Park-Macneil Park-zone 2-Building,Q009-ZN02,Q009,Q009-ZN02,Macneil Park,Y,TRUE,CONCESSION,113.6111308,970.9434395
"(40.70121010300005, -73.85451725599995)",Q015-ZN04-BLG0410,Forest Park-Victory Field-Building,Q015-ZN04,Q015,Q015-ZN04,Forest Park,Y,TRUE,BATHROOM,176.6171591,1730.25678
"(40.702430148000076, -73.85501252699993)",Q015-ZN04-BLG0411,Forest Park-Victory Field-Building,Q015-ZN04,Q015,Q015-ZN04,Forest Park,Y,FALSE,BATHROOM,653.6169726,4775.175072
"(40.70222215100006, -73.85347787599994)",Q015-ZN04-BLG0412,Forest Park-Victory Field-Building,Q015-ZN04,Q015,Q015-ZN04,Forest Park,Y,FALSE,BATHROOM,95.9848098,334.7245753
